Ratio_MeltingT,Ceramic_MagpieData maximum GSmagmom,Binder_MagpieData minimum SpaceGroupNumber,Binder_MagpieData mean NsUnfilled,Binder_MagpieData maximum NdUnfilled,Binder_MagpieData mean NdValence,Binder_MagpieData mean Electronegativity,Ceramic_MagpieData maximum GSvolume_pa,Binder_Wt_Pct,Ceramic_Ta,Binder_Ti,Sinter_Temp_C,Ceramic_Wt_Pct,Grain_Size_um,"HV, kgf/mm2"
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1430,93,1,1357
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1430,93,1,1347
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1450,94,30,996
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1450,94,30,1155
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1450,94,30,1164
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1450,90,30,1301
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1500,90,30,1910
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1450,93,30,1476
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1410,90,30,1440
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,50,968
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,50,1425
1.812782804,0,194,0,3,7,1.88,15.69,10,0,0,1390,90,1,1596
1.812782804,0,194,0,3,7,1.88,15.69,10,0,0,1390,90,1,1635
1.812782804,0,194,0,3,7,1.88,15.69,10,0,0,1390,90,1,1634
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1390,90,1,1471
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1420
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1350,90,30,1362
2.126131221,0,194,0,3,7,1.88,16.05,9.5,0,0,1350,90.5,30,1410
2.126131221,0,194,0,3,7,1.88,16.05,9,0,0,1350,91,30,1396
2.126131221,0,194,0,3,7,1.88,16.05,8.5,0,0,1350,91.5,30,1387
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1350,92,30,1316
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1790
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1784
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1381
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1100,88,30,1800
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,30,1380
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,1,1850
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1596
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1217
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1530
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1580
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1586
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1577
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1745
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1680
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1430,90,30,1600
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1450,92,30,1378
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1430,92,30,1336
2.126131221,0,194,0,3,7,1.88,16.05,6.5,0,0,1400,93.5,30,2025
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,30,1975
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1900
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1700
2.126131221,0,194,0,3,7,1.88,16.05,6.5,0,0,1400,93.5,30,1500
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1350
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1275
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1280
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,30,1100
2.126131221,0,194,0,3,7,1.88,16.05,4,0,0,1400,96,30,1750
2.126131221,0,194,0,3,7,1.88,16.05,6.5,0,0,1400,93.5,30,1550
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1350
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,30,1275
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,30,1100
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,30,1025
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,30,1050
2.126131221,0,194,0,3,7,1.88,16.05,19,0,0,1400,81,30,950
2.126131221,0,194,0,3,7,1.88,16.05,26,0,0,1400,74,30,890
2.126131221,0,194,0,3,7,1.88,16.05,26,0,0,1400,74,30,815
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1950
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1600
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1350
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1250
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1050
2.126131221,0,194,0,3,7,1.88,16.05,9,0,0,1400,91,1,1550
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,1,1300
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,1,1200
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,1,1050
2.126131221,0,194,0,3,7,1.88,16.05,25,0,0,1400,75,1,850
2.126131221,0,194,0,3,7,1.88,16.05,3,0,0,1400,97,1,2250
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,1,2050
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,1,1900
2.126131221,0,194,0,3,7,1.88,16.05,7.2,0,0,1400,92.8,1,1750
2.126131221,0,194,0,3,7,1.88,16.05,6.9,0,0,1400,93.1,1,1390
2.126131221,0,194,0,3,7,1.88,16.05,17.6,0,0,1400,82.4,1,1380
2.126131221,0,194,0,3,7,1.88,16.05,21.7,0,0,1400,78.3,1,1150
2.126131221,0,194,0,3,7,1.88,16.05,3,0,0,1400,97,1,1900
